名稱,網址,支援功能,說明,費用
Strikingly,https://www.strikingly.com/,官網,注意這會是一頁式網站,免費版 0 元、基本版 $12 美元/月、專業版 $20 美元/月
Wordpress,https://zh-tw.wordpress.com/,官網、部落格,,免費版 0 元、個人版 $48 美元/年、進階版 $99 美元/年、商務版 $299 美元/年
Wix,https://www.wix.com/,官網,注意最基礎的方案會有 Wix 的廣告,五種方案：$4.5 美元/月 ～ $24.5 美元/月
Weebly,https://www.weebly.com/?lang=zh_TW,官網,注意網站部份中文翻譯內容有問題，使用時應多加留意,
Shopline,https://shopline.tw/,官網、購物網站,電商DIY網路開店平台,"基本 NT$ 1,200 /月、高階 NT$ 2,300 /月、豪華 NT$ 4,600 /月"
91App,https://www.91app.com/,官網、購物網站,官網、APP、FB商店全通路開店服務，注意成交會抽成,"三種方案：NT$ 5,988 /年 ～ NT$ 199,900 /年"
Shopify,https://www.shopify.com/,官網、購物網站,注意支付方式不適合台灣市場，主打海外消費者市場才考慮,三種方案：$29 美元/月、$79 美元/月、$299 美元/月
Meepshop,https://www.meepshop.com/,官網、購物網站,,
一頁商店,http://www.super-landing.com/,官網、購物網站,,
Shop123,https://www.shop123.com.tw/,官網、購物網站,,
